DATE,cpi_all,cpi_used_cars,cpi_new_cars,fin_rate,real_ex_all,real_ex_cars,real_imp_all,real_imp_cars,cpi_maintain
1/1/2010,217.488,142.829,138.321,10.83,98697,9041,143563,16767,135.277
2/1/2010,217.281,143.173,138.117,10.83,100612,9355,147642,16797,135.649
3/1/2010,217.353,142.377,137.879,10.83,103893,9217,150565,17703,135.523
4/1/2010,217.403,141.68,137.639,11,101793,9490,149667,17675,135.701
5/1/2010,217.29,140.952,137.482,11,104516,9655,154746,19044,136.135
6/1/2010,217.199,141.951,137.409,11,104222,9624,160873,20137,136.686
7/1/2010,217.605,142.512,137.484,10.71,107018,9504,158642,19215,137.236
8/1/2010,217.923,143.42,137.782,10.71,106047,9781,163133,19970,137.646
9/1/2010,218.275,144.032,138.264,10.71,105704,9832,161878,19639,137.802
10/1/2010,219.035,144.313,138.442,10.94,109413,10320,161618,20115,138.289
11/1/2010,219.59,144.751,138.469,10.94,108639,9947,159864,19733,138.768
12/1/2010,220.472,145.669,138.678,10.94,110182,10185,162668,20154,139.223
1/1/2011,221.187,146.478,138.938,10.98,110656,10949,167088,21486,140.487
2/1/2011,221.898,146.182,139.725,10.98,107705,10385,161098,19887,140.912
3/1/2011,223.046,145.646,140.42,10.98,112863,11508,165094,21320,140.686
4/1/2011,224.093,145.542,140.878,11.37,113704,10875,161781,18749,141.59
5/1/2011,224.806,146.476,142.014,11.37,112604,11094,164362,19089,143.328
6/1/2011,224.806,148.518,142.706,11.37,110248,11019,165242,18834,144.618
7/1/2011,225.395,149.971,142.856,10.8,113761,11918,166248,21169,144.96
8/1/2011,226.106,151.312,142.848,10.8,113070,11238,165954,20738,145.537
9/1/2011,226.597,151.677,142.94,10.8,114617,11560,165760,21835,145.646
10/1/2011,226.75,151.986,143.095,10.36,116685,11686,167570,21596,145.308
11/1/2011,227.169,152.187,143.035,10.36,114774,11395,167368,21993,146.338
12/1/2011,227.223,152.083,143.163,10.36,116623,12006,170032,22912,147.499
1/1/2012,227.842,151.106,143.466,10.89,115278,12569,169418,23977,148.126
2/1/2012,228.329,149.893,143.838,10.89,115932,12367,164629,23660,148.23
3/1/2012,228.807,149.265,143.901,10.89,118495,12264,172569,24063,148.298
4/1/2012,229.187,150.053,143.898,10.94,116805,12367,168605,23228,148.327
5/1/2012,228.713,151.587,143.942,10.94,117899,12188,169275,23858,148.54
6/1/2012,228.524,152.263,144.073,10.94,119872,12557,170365,24127,148.542
7/1/2012,228.59,151.97,144.13,10.37,118678,12153,171174,24471,149.048
8/1/2012,229.918,150.871,144.311,10.37,115969,12051,170233,24141,148.854
9/1/2012,231.015,149.647,144.359,10.37,119476,11952,169809,23222,148.798
10/1/2012,231.638,148.986,144.547,10.64,114108,11764,166099,23465,148.683
11/1/2012,231.249,148.932,145.024,10.64,116703,12244,172371,24425,148.509
12/1/2012,231.221,149.243,145.318,10.64,119903,12264,168815,23863,148.761
1/1/2013,231.679,149.741,145.533,10.12,117880,12400,170104,23057,147.931
2/1/2013,232.937,149.789,145.121,10.12,119100,12879,171280,24102,147.659
3/1/2013,232.282,148.912,145.26,10.12,117459,12471,164505,23577,147.916
4/1/2013,231.797,148.577,145.378,10.34,119500,12970,168983,24397,147.22
5/1/2013,231.893,148.501,145.379,10.34,119358,12940,173175,24782,146.763
6/1/2013,232.445,148.742,145.854,10.34,121730,12649,170446,24792,146.384
7/1/2013,232.9,149.058,146.024,10.13,120687,12047,171699,24791,146.141
8/1/2013,233.456,149.539,146.066,10.13,120909,12875,171446,25301,145.673
9/1/2013,233.544,150.458,146.381,10.13,119942,13007,173483,26226,145.379
10/1/2013,233.669,151.248,146.233,10.22,124061,12806,173696,25350,145.246
11/1/2013,234.1,151.993,146.171,10.22,124450,12962,172660,26242,145.088
12/1/2013,234.719,152.457,146.042,10.22,122153,12476,171768,25391,145.664
1/1/2014,235.288,151.535,145.624,10.09,121583,12160,173594,24596,145.438
2/1/2014,235.547,150.718,145.625,10.09,120543,12516,172819,25323,145.204
3/1/2014,236.028,149.641,145.646,10.09,123816,13292,177764,25468,145.136
4/1/2014,236.468,149.217,145.986,9.62,123459,12921,180160,26303,145.325
5/1/2014,236.918,149.006,146.14,9.62,125079,13372,178958,27153,144.995
6/1/2014,237.231,148.921,146.099,9.62,124862,13518,177503,26750,144.558
7/1/2014,237.498,149.216,146.255,10.73,125241,14295,177939,27717,144.71
8/1/2014,237.46,149.472,146.464,10.73,127026,13251,177708,26831,144.878
9/1/2014,237.477,149.859,146.717,10.73,124905,13399,179604,26884,144.472
10/1/2014,237.43,148.954,146.928,10.47,127676,13451,180926,27482,144.376
11/1/2014,236.983,147.488,146.959,10.47,126772,13013,179847,26978,144.091
12/1/2014,236.252,145.83,146.886,10.47,127198,13549,185102,27310,144.693
1/1/2015,234.747,144.875,146.104,9.85,125815,12562,183458,27147,144.913
2/1/2015,235.342,147.264,146.316,9.85,123730,11768,179128,26495,145.14
3/1/2015,235.976,147.694,146.672,9.85,123764,12474,195192,28642,144.504
4/1/2015,236.222,148.404,147.024,9.69,126070,12464,188118,28705,144.281
5/1/2015,237.001,149.29,147.327,9.69,123875,12524,185274,28860,144.581
6/1/2015,237.657,149.48,147.489,9.69,123625,12724,188196,29785,143.88
7/1/2015,238.034,149.078,147.462,9.8,123926,12902,185501,29885,143.823
8/1/2015,238.033,148.295,147.41,9.8,122807,12568,188624,29353,143.793
9/1/2015,237.498,147.554,147.611,9.8,124920,12969,188516,28921,144.496
10/1/2015,237.733,146.397,147.481,9.66,123408,12697,187159,28933,143.209
11/1/2015,238.017,144.85,147.466,9.66,122059,12845,185264,29038,143.967
12/1/2015,237.761,143.955,147.272,9.66,122470,12530,186647,29487,144.245
1/1/2016,237.652,144.638,146.706,10.03,120911,12145,184180,29601,144.784
2/1/2016,237.336,143.979,147.374,10.03,123750,12388,190335,29149,144.617
3/1/2016,238.08,143.659,147.443,10.03,122423,12191,183044,28299,144.179
4/1/2016,238.992,145.475,147.213,9.65,123499,12867,185743,28849,144.612
5/1/2016,239.557,146.416,147.175,9.65,122032,12622,186419,28886,143.694
6/1/2016,240.222,144.887,147.046,9.65,121683,12474,189654,28515,143.822
7/1/2016,240.101,143.27,147.303,9.64,122718,12513,187932,28536,142.932
8/1/2016,240.545,142.803,147.335,9.64,125603,12929,188535,28727,143.676
9/1/2016,241.176,144.851,147.482,9.64,125970,12824,186890,29913,142.739
10/1/2016,241.741,142.217,147.784,9.45,124991,12825,187191,28940,143.017
11/1/2016,242.026,139.975,147.737,9.45,123305,12396,190906,29261,141.855
12/1/2016,242.637,139.457,147.686,9.45,127234,12559,191658,30002,142.735
1/1/2017,243.618,138.761,148.166,10.05,128519,13524,195500,30998,142.993
2/1/2017,244.006,138.713,148.284,10.05,128136,12983,191095,28896,143.256
3/1/2017,243.892,139.232,148.053,10.05,127383,12914,191182,30222,143.797
4/1/2017,244.193,138.596,148.147,10.13,126613,12580,194295,30103,143.915
5/1/2017,244.004,138.601,147.786,10.13,127078,12801,193121,29120,143.302
6/1/2017,244.163,137.691,147.097,10.13,129182,13779,194083,30191,143.432
7/1/2017,244.243,136.872,146.198,9.76,127728,12706,193375,29342,143.592
8/1/2017,245.183,136.875,146.097,9.76,127775,13077,192443,29719,143.368
9/1/2017,246.435,135.033,145.747,9.76,128335,13046,193159,29629,143.165
10/1/2017,246.626,137.803,145.474,10.57,129635,12971,195693,29441,142.213
11/1/2017,247.284,138.261,145.901,10.57,132147,13733,201012,30163,141.474
12/1/2017,247.805,138.123,146.79,10.57,134663,13753,204633,30411,141.979
1/1/2018,248.859,138.559,147.787,10.22,130389,13467,201726,30605,142.562
2/1/2018,249.529,138.643,147.386,10.22,133081,13989,204588,30937,142.807
3/1/2018,249.577,138.212,147.475,10.22,135693,13617,202816,30943,143.254
4/1/2018,250.227,137.876,145.964,10.31,135319,13632,204399,30397,142.847
5/1/2018,250.792,138.533,145.786,10.31,137249,13404,202174,29719,143.655
6/1/2018,251.018,137.952,145.769,10.31,135305,12976,203031,30183,143.813
7/1/2018,251.214,137.608,145.466,10.08,133536,12923,205798,30298,143.763
8/1/2018,251.663,138.093,145.491,10.08,133038,12752,205717,31214,143.927
9/1/2018,252.182,136.92,145.434,10.08,135359,13002,208251,30984,143.731
10/1/2018,252.772,138.247,145.457,10.65,135209,12796,209303,31834,143.99
11/1/2018,252.594,139.763,146.183,10.65,134388,12545,204664,32087,144.493
12/1/2018,252.767,140.18,147.281,10.65,133275,12510,209663,31811,145.105
1/1/2019,252.718,140.963,147.849,10.36,135994,13395,207334,31947,145.591
2/1/2019,253.322,140.242,147.822,10.36,136206,13580,205436,32049,145.466
3/1/2019,254.202,138.894,148.516,10.36,136120,13584,206281,32096,145.823
4/1/2019,255.211,138.956,147.788,10.63,131372,13021,203993,31366,145.555
5/1/2019,255.29,138.993,147.071,10.63,134908,13738,208417,32835,146.445
6/1/2019,255.159,139.492,146.577,10.63,133194,13532,205791,32592,146.554
7/1/2019,255.685,139.491,145.984,10.07,134010,13761,206925,32079,145.808
8/1/2019,256.059,140.832,145.807,10.07,133973,14100,206928,31713,146.368
9/1/2019,256.511,140.334,145.589,10.07,133786,13456,202533,30793,147.314
10/1/2019,257.244,140.217,145.582,10.21,133530,13040,200432,29276,146.957
11/1/2019,257.803,139.348,146.103,10.21,134149,13466,198341,30355,147.608
12/1/2019,258.616,139.413,147.349,10.21,134883,12595,202289,29700,147.757
1/1/2020,259.037,138.428,148.042,9.63,132439,13195,199465,29287,148.335
2/1/2020,259.248,138.437,148.403,9.63,136025,13487,196172,31133,148.457
3/1/2020,258.124,139.15,147.85,9.63,127018,11094,192367,27794,148.19
4/1/2020,256.092,137.901,146.959,9.5,100438,3649,173653,13660,147.403
5/1/2020,255.868,138.528,146.637,9.5,95883,3431,170774,8928,148.642
6/1/2020,256.986,135.32,146.271,9.5,107937,8519,177017,18638,147.643
7/1/2020,258.278,138.039,146.746,9.26,118972,12291,197525,25421,148.123
8/1/2020,259.411,146.245,146.759,9.26,121048,12410,200244,27710,148.096
9/1/2020,260.029,154.42,147.093,9.26,125180,12616,199008,30749,148.193
10/1/2020,260.286,156.354,147.81,9.65,127387,12400,205037,31836,147.723
11/1/2020,260.813,154.86,148.445,9.65,128634,12528,211413,31386,147.439
12/1/2020,262.035,153.842,150.242,9.65,131595,12629,212403,32236,148.363
1/1/2021,262.65,152.62,150.177,9.46,131266,12575,213963,31213,149.198
2/1/2021,263.638,151.331,150.121,9.46,125481,11946,210395,28441,149.324
3/1/2021,264.914,152.215,150.058,9.46,133848,12660,219478,30032,149.147
4/1/2021,266.67,166.799,149.843,9.58,131621,11726,216139,28762,150.454
5/1/2021,268.444,179.671,151.538,9.58,129576,11440,215313,28307,151.777
6/1/2021,270.559,196.086,153.966,9.58,129124,11757,217697,28340,152.863
7/1/2021,271.764,195.215,156.079,9.39,130465,12545,215777,28613,154.484
8/1/2021,272.87,192.669,157.949,9.39,130701,11442,217564,27221,157.12
9/1/2021,274.028,191.694,159.953,9.39,126679,10993,218894,25143,158.454
10/1/2021,276.522,197.651,162.366,9.09,136195,12144,220034,26624,160.727
11/1/2021,278.711,204.01,164.935,9.09,134786,11883,228812,27942,162.524
12/1/2021,280.887,211.882,167.939,9.09,139540,12429,233125,29207,165.122
1/1/2022,282.599,214.914,168.48,9.39,133435,11911,231861,31091,167.991
2/1/2022,284.61,213.702,168.709,9.39,132715,11738,230134,29352,170.629
3/1/2022,287.472,206.036,168.885,9.39,134310,12221,247936,31018,170.323
4/1/2022,288.611,204.632,169.643,8.73,137858,12313,237634,32255,172.308
5/1/2022,291.268,208.447,170.669,8.73,136339,12511,235561,31900,174.963
6/1/2022,294.728,209.54,171.565,8.73,137501,12283,234960,29880,175.693
7/1/2022,294.628,207.815,172.377,10.16,143225,13238,230591,31224,176.316
8/1/2022,295.32,207.436,173.824,10.16,145501,12438,229379,32130,178.179
9/1/2022,296.539,205.156,174.994,10.16,145726,12645,232784,32723,179.653
10/1/2022,297.987,201.645,175.981,11.21,141552,12765,236554,33309,180.275
11/1/2022,298.598,197.633,176.805,11.21,139702,12990,221566,30727,181.299
12/1/2022,298.99,193.691,177.825,11.21,141556,13336,225611,33173,181.39
1/1/2023,300.536,189.941,178.226,11.48,146627,14345,232204,35536,181.894
2/1/2023,301.648,184.678,178.538,11.48,140595,12573,228974,33986,181.037
3/1/2023,301.808,183.06,179.222,11.48,144774,13052,227059,32989,181.282
4/1/2023,302.918,191.199,178.833,11.48,136426,13073,232644,34787,182.321
5/1/2023,303.294,199.646,178.616,11.48,138126,14024,227313,34872,182.357
